"portfolio","n_months","cagr","annualized_arithmetic_mean","annualized_vol","sharpe_ratio","sortino_ratio","max_drawdown_monthly_sampled","calmar_ratio","var_95_monthly","es_95_monthly","best_month","worst_month","positive_month_hit_rate","rf_annual_assumption","rf_monthly_conversion"
"Constrained MVO (gross, 0bps)",95,0.191323326442871,0.194858946541151,0.195997500573123,0.76919977701278,1.39230606862853,-0.158298139891457,1.20862649791122,-0.0660455144102155,-0.0966226902161628,0.226949595417252,-0.115998435438831,0.621052631578947,0.045,"(1+rf_annual)^(1/12) - 1"
"Constrained MVO (net, 5bps)",95,0.190158887663393,0.193866337823411,0.195993097965576,0.76415254706813,1.38174845646944,-0.158387740602656,1.20059094813683,-0.0661681213651527,-0.0967107682435743,0.226943850444107,-0.116021145160777,0.621052631578947,0.045,"(1+rf_annual)^(1/12) - 1"
"Constrained MVO (net, 10bps)",95,0.188995286066124,0.192873729105671,0.195989606141014,0.759101562729734,1.37120309688343,-0.158477332957516,1.19256983026581,-0.06629072832009,-0.0967988462709858,0.226938105470963,-0.116043854882724,0.621052631578947,0.045,"(1+rf_annual)^(1/12) - 1"
"Constrained MVO (net, 20bps)",95,0.186670592688753,0.190888511670191,0.195985355022872,0.748988611153205,1.35014991823883,-0.158656492600913,1.17657077645292,-0.0665359422299645,-0.0969750023258088,0.226926615524675,-0.116089274326616,0.621052631578947,0.045,"(1+rf_annual)^(1/12) - 1"
"Naive 1/N (gross, 0bps)",95,0.196389921807114,0.20239268792506,0.210651908621411,0.751452840640101,1.2816080233035,-0.257337888048031,0.763159763596332,-0.0681130925243802,-0.109176501098393,0.17188655310974,-0.17953492393124,0.631578947368421,0.045,"(1+rf_annual)^(1/12) - 1"
"Naive 1/N (net, 5bps)",95,0.19589709675067,0.201977243019667,0.210661052793755,0.749448121143655,1.27750558188004,-0.257626356673742,0.760392295570728,-0.0681320709308522,-0.109210531246066,0.171843834267432,-0.179561032341094,0.631578947368421,0.045,"(1+rf_annual)^(1/12) - 1"
"Naive 1/N (net, 10bps)",95,0.195404418021745,0.201561798114273,0.210670345434005,0.747443048923837,1.27340526189536,-0.257914725039453,0.757631880040408,-0.0681510493373242,-0.109244561393739,0.171801115425124,-0.179587140750948,0.631578947368421,0.045,"(1+rf_annual)^(1/12) - 1"
"Naive 1/N (net, 20bps)",95,0.194419499316475,0.200730908303485,0.210689376039324,0.74343186373578,1.26521109060725,-0.258491161114217,0.752132097973628,-0.0681890061502683,-0.109312621689085,0.171715677740509,-0.179639357570656,0.631578947368421,0.045,"(1+rf_annual)^(1/12) - 1"
"No-Rebalance Baseline (buy-and-hold from initial MVO target)",95,0.171725152471838,0.18824470714222,0.24092773685724,0.59829970686352,0.965642427061234,-0.390460921007096,0.439801125369771,-0.0859663815313191,-0.14213150888148,0.193793610898042,-0.211528695614452,0.568421052631579,0.045,"(1+rf_annual)^(1/12) - 1"
"SPY",95,0.135827425342512,0.141519388202247,0.164659383287781,0.591655777227937,0.883014700854242,-0.239271599760229,0.567670486086202,-0.080154025127022,-0.0951190176565712,0.126983507962829,-0.12487133982424,0.673684210526316,0.045,"(1+rf_annual)^(1/12) - 1"
"ACWI",95,0.101882844542195,0.109577547496386,0.156238407997907,0.419102034705969,0.607165589628013,-0.257384089453316,0.395839714718165,-0.0745017381154926,-0.092937309782784,0.117609418604173,-0.134099164258708,0.663157894736842,0.045,"(1+rf_annual)^(1/12) - 1"
"AOR",95,0.0690265403891439,0.0726813362646439,0.107530977421615,0.265817573175486,0.373285644124979,-0.20750908332739,0.33264346448025,-0.0432189609380442,-0.0660482065032658,0.0753683918272336,-0.0945292988443341,0.621052631578947,0.045,"(1+rf_annual)^(1/12) - 1"
